"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PgB01_g001",283.930842397342,-0.412643788598065,0.143865186657762,-2.86826714776866,0.00412726877401015,0.0702485242399733
"PgB01_g003",721.174382059593,-0.430305252933739,0.209651627764415,-2.05247751959871,0.0401232776105566,0.230300634533171
"PgB01_g004",497.548887849222,-0.325857213607766,0.172764213456768,-1.88613837951636,0.059276309618096,0.279153514882006
"PgB01_g005",285.301562954282,-0.207073024337467,0.206534689139864,-1.00260651225151,0.316050752471509,0.62237433072466
"PgB01_g006",1052.81935381397,-0.0602786135119628,0.159229212465898,-0.378565042045113,0.705010885675047,0.879887601231854
"PgB01_g007",53.9506421314533,0.590727157202678,0.362652178518886,1.628908337502,0.103332424830688,0.364374337483917
"PgB01_g008",744.283518762738,0.132957172133348,0.131078350788392,1.01433357479443,0.310423608425618,0.616408190077324
"PgB01_g009",85.2683516850433,-0.614672168330114,0.288743142262999,-2.12878534019085,0.033272024352549,0.209102275841041
"PgB01_g010",239.502719369915,-0.0605602868322866,0.143006295036328,-0.423479867210757,0.671945184439846,0.864398861815437
"PgB01_g011",703.329341251223,-0.23245511989808,0.115100611835961,-2.01958196564037,0.043426767361186,0.240676729532781
"PgB01_g012",261.704537042988,-0.278634517077571,0.471635542785465,-0.590783543224847,0.554665462901743,0.798149870191657
"PgB01_g013",22913.6771564467,0.501059311090212,0.144674735897825,3.46335044595541,0.000533493070505326,0.0229907918918631
"PgB01_g014",346.112112659419,-0.0519049484142965,0.135349110002289,-0.383489395781168,0.701356931350362,0.878167388809133
"PgB01_g015",3160.85015254523,0.25849735435589,0.158725645072642,1.62857964280181,0.103402036660332,0.364403793630597
"PgB01_g016",27.8178507662705,-0.319150688975814,0.324372860468367,-0.983900713872876,0.325164332671439,NA
"PgB01_g018",2411.21724637285,0.122256146789554,0.26951106690052,0.45362199109501,0.650100922587855,0.851945334271871
"PgB01_g019",330.004321425789,0.695353981808361,0.460159664474777,1.51111458802465,0.130759258575379,0.411304576667148
"PgB01_g020",48.3061122926716,-0.689542393938989,0.612400539723333,-1.12596633936754,0.260179767353426,0.571332596968933
"PgB01_g021",5.07457748578939,-0.187316492412587,0.510674098891979,-0.36680241433629,0.713766406603206,NA
"PgB01_g024",74.0108187126628,-0.376987025187075,0.620425980088985,-0.607626110584547,0.543435479256007,0.79445356362064
"PgB01_g025",8.64706498383607,-1.01097890619045,0.95957079243509,-1.05357407099157,0.292077965542174,NA
"PgB01_g026",176.147539738092,-0.0445610762270635,0.355465765865784,-0.12535968440879,0.900238803458339,0.961755099196146
"PgB01_g027",3557.84633355306,0.292336236549504,0.155294630623138,1.88246197165008,0.0597733185209153,0.279912711274994
