"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PgB01_g012",261.704537042988,4.81583226487832,0.733070533406802,6.56939823034174,5.05190084902736e-11,3.54914404958051e-09
"PgB01_g020",48.3061122926716,5.51247683333153,0.966748874420866,5.70207732244198,1.18356114778823e-08,4.72679560490811e-07
"PgB01_g025",8.64706498383607,4.14356292841116,1.23081806239223,3.3665113106625,0.000761254602977486,0.00915268428969352
"PgB01_g031",57.4617680966974,3.95843151039221,0.675535485380346,5.8596944143704,4.63719706064601e-09,2.06898690729292e-07
"PgB01_g040",135.640040332435,1.64108673859903,0.505885640971376,3.24398758471955,0.00117868883710042,0.0130455270323266
"PgB01_g048",270.981865140786,0.567923606152612,0.196420277560069,2.89136953275575,0.00383566815280136,0.0334069559783714
"PgB01_g054",312.644673260702,0.947153986639817,0.219178574488974,4.32138035776606,1.55056120462641e-05,0.000311804754916247
"PgB01_g057",218.550790435202,1.55459046333025,0.372136111921305,4.17747811494038,2.94759014540775e-05,0.000546548289624144
"PgB01_g084",24.4032122883087,7.30210437914262,1.02768558359933,7.10538757736384,1.19985341363138e-12,1.4426027042629e-10
"PgB01_g094",202.338747659815,2.05996304297083,0.672958512244524,3.06105503606785,0.00220558548996351,0.0216239189033546
"PgB01_g098",38.0892565938867,4.69226212664949,1.06424763905945,4.40899463098306,1.03851599506837e-05,0.000216064293181619
"PgB01_g099",67.2998916156366,4.50965507689128,1.02995488873226,4.37849766647748,1.19500220501788e-05,0.00024417379580884
"PgB01_g103",30.1963317801632,4.67055082943466,1.08769359589861,4.29399496976539,1.75486451679653e-05,0.00034678308842301
"PgB01_g122",24.2035358650888,5.59317517499492,1.05656962930173,5.29371185758139,1.19858238128146e-07,3.8672903838974e-06
"PgB01_g144",121.259439968909,3.98098347845348,0.884139154057685,4.50266619251401,6.7106241468976e-06,0.000144893665417513
"PgB01_g145",139.501530061959,-3.20418996804453,1.08503958166597,-2.95306274737445,0.00314638000446369,0.0287503619287874
"PgB01_g152",221.713126289968,2.10533856993833,0.57849883975981,3.63931338360585,0.00027336595969476,0.00382176987960043
"PgB01_g158",4068.86265467454,0.740491769615617,0.212971771774244,3.47694797036557,0.000507156223811115,0.00653070844235688
"PgB01_g171",1091.44226521327,5.27520436983043,0.866829223748114,6.08563281590898,1.1603208943431e-09,5.7622544587769e-08
