"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PgB01_g143",3509.87915304669,-0.734798181930123,0.198899926865249,-3.69431097090315,0.000220483841636326,0.0412810812348931
"PgB01_g238",3070.79448347508,0.593033664979923,0.139770721088332,4.24290338035202,2.20646448517812e-05,0.0126000154426097
"PgB03_g048",13.7064905942356,3.29133863332138,0.84177162697324,3.91001374702549,9.22908685842128e-05,0.0263513502525074
"PgB03_g074",14.4733653560687,4.06240915272743,1.10490369482163,3.67670881341675,0.000236262467946063,0.0428310102605077
"PgB04_g013",2657.27713921063,0.500098305986927,0.131931416479751,3.79059301666546,0.00015028803680906,0.0327519728779298
"PgB04_g126",34.6174914334262,2.50983272770923,0.575748982907499,4.3592482179208,1.30510014826037e-05,0.00846840949661263
"PgB11_g008",1148.76671021562,0.560649954063653,0.149717903089329,3.74470883237753,0.000180603102359821,0.0348174355941151
"PgB17_g001",1897.9567275386,-0.685439690182431,0.169355125828195,-4.04735130885727,5.18004667295735e-05,0.0179276706217715
"PgB18_g007",5322.90096922842,0.50606992130587,0.137541730745154,3.679391836675,0.000233790820705456,0.0428310102605077
"PgB20_g037",304.253024734864,-0.999977093317004,0.272376379687811,-3.67130620673917,0.000241314017757306,0.0430632405750968
"PgB20_g056",1240.85233080506,0.613930752283905,0.149399947259993,4.10931036819922,3.96842431418408e-05,0.0156287496869988
"PgE033_g001",15.3170327833716,5.32598003744828,1.35349706998095,3.93497714592263,8.32046132482576e-05,0.0250073654712724
"PgR002_g100",2083.48086746217,0.614227365605372,0.16892218779069,3.63615563851479,0.000276737167288101,0.0474375529095138
"PgR004_g040",400.9335821549,-2.83449850648948,0.633973097972567,-4.4710075483552,7.78519502518853e-06,0.00683959326020602
"PgR007_g075",59.068335398596,-21.295402101781,2.26126492687637,-9.41747331269037,4.62073159005229e-21,2.63866877449936e-17
"PgR010_g056",10.7432581128541,-6.1108379862254,1.57404839999815,-3.88224274821065,0.000103497482534303,0.0276583713764403
"PgR010_g060",4067.95275205047,0.639484913464754,0.176763731458347,3.61773825540362,0.000297188715347761,0.0499145929115703
"PgR010_g185",67.4124231760649,2.28093481126811,0.596669169109281,3.82277974019193,0.00013195564320567,0.0301413080210391
"PgR011_g022",20.2342146201066,-23.9117977784059,1.6884155930536,-14.1622701642787,1.56844268573612e-45,1.79131839137922e-41
"PgR011_g092",69.738350420749,4.3170225305327,1.11562355752966,3.86960503065384,0.000109011811890804,0.027667197857886
"PgR011_g132",224.491335829528,5.88322464659029,0.943900889580591,6.2328838880578,4.57925594270364e-10,1.74332273738728e-06
"PgR012_g036",99.1240994604658,-1.13428728610099,0.278157251249537,-4.07786344237135,4.54514474584088e-05,0.0173033660474162
"PgR012_g150",791.350948562023,0.656165994732448,0.146699425254551,4.47286002377907,7.71803025614007e-06,0.00683959326020602
"PgR012_g185",3793.82933021661,0.590807876672792,0.129542647162383,4.56072104140505,5.09782676335614e-06,0.00529293449675368
"PgR018_g043",117.068161349106,-1.9874350580585,0.516766572899177,-3.84590482876734,0.000120108379279489,0.0291863361649157
"PgR018_g127",443.380375909233,-0.684309788869291,0.137308047692548,-4.98375587133506,6.2361752953012e-07,0.0014244671609527
"PgR018_g137",1283.80208030263,-0.749480776074836,0.17829371419305,-4.2036298333172,2.62668372112715e-05,0.0136360703540878
"PgR020_g136",27.940187836392,-3.40777617400111,0.719472776522417,-4.73649078214279,2.17450626924656e-06,0.00275944845567389
"PgR023_g096",2261.66686778558,0.705247888379166,0.183783139202233,3.83739167499539,0.000124348057167558,0.0295870658523058
"PgR024_g084",73.4366331964971,-2.23460085503237,0.455100526031585,-4.91012584520126,9.10179630669359e-07,0.00173252692697912
"PgR025_g079",4226.21912689199,0.527937346960011,0.140339277202576,3.76186451493509,0.000168651403342804,0.0343958513853244
"PgR026_g017",2736.46903164631,0.590525769806265,0.151594866350597,3.89542063014549,9.80284596272381e-05,0.027306903351285
"PgR029_g006",985.826474083752,0.723315722199899,0.186714386653987,3.87391531612572,0.000107100642171601,0.027667197857886
"PgR029_g047",22983.3571011449,0.740747536800771,0.167507292534929,4.42218082323974,9.77096280302399e-06,0.00743961107822247
"PgR029_g071",1124.71760898738,-0.53413606801124,0.136561310878373,-3.91132791985985,9.17900447081392e-05,0.0263513502525074
"PgR029_g099",2308.53279181555,0.843294692642472,0.205097600355093,4.11167508143657,3.92798835946248e-05,0.0156287496869988
"PgR033_g029",1377.4830157499,0.522122393274917,0.117883334989342,4.42914508078792,9.46073667170147e-06,0.00743961107822247
"PgR041_g035",2773.73085889336,0.606155760480681,0.13039993451801,4.64843608028778,3.34461231727331e-06,0.00381988172755785
"PgR041_g051",30.9420031811536,3.857635405864,0.994043045800109,3.88075287298949,0.000104133610821025,0.0276583713764403
"PgR042_g045",9480.96895691938,0.54125823060181,0.14461902246626,3.74264893629805,0.000182090541535871,0.0348174355941151
"PgR045_g001",138.102866785558,7.7574135244969,2.03837727707603,3.80568092655772,0.000141414594595681,0.0316685506838682
"PgR051X_g051",3839.08415506632,0.755371281339999,0.195873756381721,3.85641902873361,0.000115060186792325,0.0285674433338075
"PgR059_g054",7.24984632074202,4.92406805923785,1.18601661241015,4.1517698889828,3.29913897477785e-05,0.0156287496869988
"PgR059_g058",24.4876251512994,3.69220791159238,0.772056251843181,4.78230427223111,1.73297096110857e-06,0.00247403266835262
"PgR060_g037",64.5177584171154,-6.06256480380871,1.16201526841204,-5.21728497775556,1.81564804432344e-07,0.00051841290785545
"PgR064_g002",4705.21764675544,1.04150458695495,0.247587104936764,4.2066188674122,2.59219766018064e-05,0.0136360703540878
"PgR066_g045",269.257290479885,-2.10132684006194,0.554762028861182,-3.78779860686491,0.000151987966249039,0.0327519728779298
"PgR066_g050",1060.81746051105,1.54609637948015,0.375414278689543,4.11837393313089,3.81555207745448e-05,0.0156287496869988
"PgR070_g006",8.47676677601228,5.01136409531636,1.24897595564604,4.01237835897665,6.0110054759661e-05,0.0196147695831454
"PgR071_g001",39.5990557023469,-4.24990982086805,1.16925498974778,-3.63471600132731,0.000278287019082167,0.0474375529095138
"PgR071_g058",152.470130194022,-1.56323711624083,0.385761167070791,-4.05234442883661,5.07069410928928e-05,0.0179276706217715
"PgR079_g010",886.180846009359,0.630129670622547,0.144712876097736,4.35434418563399,1.33465870710995e-05,0.00846840949661263
"PgR080_g027",92.2837194068741,3.29646590477796,0.879563127027189,3.74784458725504,0.00017836070709591,0.0348174355941151
"PgR091_g036",52.6494557403362,2.80267042805637,0.65216582938343,4.297481256732,1.72749862957693e-05,0.0103840851833674
"PgR098_g012",10.5885660883638,-3.03028274138149,0.745383202968031,-4.0654025061408,4.79496358405097e-05,0.0176655739011116
"PgR098_g022",1154.23023192313,-0.594584024534731,0.158014744919529,-3.76283887201494,0.000167995445080595,0.0343958513853244
"PgR102_g021",7275.0548915406,0.532305078293628,0.142269849797506,3.74151711730394,0.000182912716543815,0.0348174355941151
"PgR104_g025",18.3961696991521,5.24062938325202,1.25464050517915,4.17699680635108,2.95383171203539e-05,0.0146677008622418
"PgR118_g032",152.163787631825,-3.20127195007169,0.792589302491575,-4.03900474054875,5.36784804342858e-05,0.0180312330894111
"PgR140_g005",19.770752670478,3.56119155159667,0.902021073089097,3.94801369706461,7.88022970428535e-05,0.0243243522844981
"PgR160_g002",1987.51122968414,-3.0542441656485,0.798148936157216,-3.82665944573393,0.000129894023887409,0.0301413080210391
"PgR160_g006",24.4761145414135,3.82922758265407,0.956205888368904,4.00460573317109,6.21210015734145e-05,0.0197078877491658
"PgR190X_g003",40.4019118042327,4.8600354500215,1.17487979968217,4.13662355190397,3.52453618180668e-05,0.0156287496869988
"PgR215_g005",1367.53921347384,-0.508636449234005,0.116611574848601,-4.36180070369838,1.289963483735e-05,0.00846840949661263
"PgR307_g002",471.155946523825,9.79913927989866,2.02882309639539,4.82996240397144,1.36558832428676e-06,0.00222805489309702
"PgR310_g001",57335.615724175,1.15276276222506,0.279563403834201,4.12343942881996,3.73256646400425e-05,0.0156287496869988
"PgR352X_g002",109.001909898788,1.19883019425389,0.317335931909474,3.77779530682294,0.000158222838269353,0.0334641302939682
"PgR422_g001",67.408692357631,1.27636245770698,0.349833033822858,3.64849037770768,0.00026378578082307,0.0463491908120044
