"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PgB01_g013",22913.6771564467,0.501059311090212,0.144674735897825,3.46335044595541,0.000533493070505326,0.0229907918918631
"PgB01_g085",2609.89528737892,1.48247214502751,0.447240693185546,3.31470764538074,0.00091739016235327,0.0301712725105526
"PgB01_g174",74.6648192514461,-0.933509748997367,0.247286534715006,-3.77501245699942,0.0001599996677488,0.0109147211017174
"PgB02X_g011",1247.75257329917,1.23003655220827,0.355829604032985,3.45681342492866,0.000546603152127053,0.023255056659431
"PgB02X_g056",293.846548299526,2.13339085287401,0.546412092036165,3.9043624472586,9.44741065126025e-05,0.0078062158422562
"PgB02X_g065",471.496129196899,0.599084533305459,0.190901307295825,3.13818978922498,0.00169994767707254,0.0432261087190398
"PgB02X_g103",167.899889739651,-1.26630825475565,0.353755670379804,-3.57961259927253,0.000344103955783233,0.0177337698449524
"PgB03_g049",284.234540051123,-0.642178587612829,0.154788323549597,-4.1487534258814,3.34290637869503e-05,0.00375532336788684
"PgB04_g007",632.087124772512,0.512661130212424,0.153239743283365,3.34548413634725,0.000821390577294497,0.0283181482475531
"PgB04_g014",184.620554521783,-0.638138756667958,0.161852756301715,-3.94271170444811,8.05654793091602e-05,0.00720318050776383
"PgB05_g042",828.979827842564,-0.581576400768024,0.115994806385923,-5.01381414296324,5.33615325933807e-07,0.000421612540805029
"PgB05_g072",441.979778494156,-0.808141364073694,0.214184953081405,-3.77310054906865,0.000161231270485931,0.0109147211017174
"PgB05_g136",278.998648515229,-6.61339178571909,1.52300147271948,-4.34234103129932,1.40972483050481e-05,0.00224603417634235
"PgB06_g013",637.155893648157,-0.963897589199343,0.287874696271615,-3.34832342572369,0.000813020704432706,0.0283181482475531
"PgB06_g062",844.242039160738,-1.03465204650618,0.288895942528733,-3.58140040822233,0.000341757413423234,0.0177337698449524
"PgB08_g008",727.618030030433,-0.648069310783151,0.180461720266678,-3.59117329606225,0.000329192648765776,0.0173224636966328
"PgB08_g081",1865.90499965872,0.885059811771104,0.184358251857343,4.80076049135011,1.58064222060187e-06,0.00065846920506573
"PgB09_g034",393.050167697834,-0.56274108681712,0.176752333831518,-3.18378306310529,0.00145363909407311,0.0394931621264754
"PgB09_g066",2347.1703144287,0.858733578758112,0.225328289443908,3.81103314136631,0.000138387210677877,0.0102523187709655
"PgB10_g047",955.160964077469,-0.756655064804358,0.242937428181224,-3.11460885409521,0.00184188980149376,0.045540737003901
"PgB10_g066",308.595668331954,-0.587059344945536,0.169016405738027,-3.47338675427443,0.000513934194621867,0.0223404959905627
"PgB10_g089",381.822274315828,-0.523935407318069,0.137710718356237,-3.80460877389895,0.000142028490049737,0.0103157521917408
"PgB11_g015",989.815052440826,0.556683041160041,0.147294108901312,3.77939786806424,0.000157208057714468,0.0109147211017174
"PgB14X_g027",3759.84392510074,0.602798150790345,0.183275400113799,3.2890292446016,0.00100533577176693,0.0318717797166392
"PgB15_g002",168.971314880815,-1.50244892188637,0.452757578574628,-3.31844013879653,0.000905217227575274,0.0298691809943815
"PgB16_g025",155.810109613796,-0.621327228093712,0.163037377259038,-3.81094960271921,0.000138433990206076,0.0102523187709655
"PgB16_g028",895.485912000805,-0.655834105452295,0.153151806032917,-4.28224859007758,1.85014118499664e-05,0.00245889177674014
"PgB17_g001",1897.9567275386,-0.555107108056312,0.129361784233139,-4.29112130253155,1.77773166783149e-05,0.00245889177674014
"PgB18_g023",2898.03712829179,0.676626071515366,0.142911533242568,4.73457989123179,2.19509295576678e-06,0.000783804977562723
"PgB18_g030",514.422173622251,-0.543195956334023,0.144901388470627,-3.74872844261346,0.000177733402714494,0.0114554942958873
