Gene,Degree,Eigen,Closeness,Betweenness,Strengths
PgB01_g241,8,1.94026E-06,2.1389E-05,4426.066101,8
PgB02X_g182,74,0.000146974,2.56318E-05,28598.82845,74
PgB02X_g185,122,0.222559798,2.39212E-05,22516.6635,122
PgB02X_g186,5,1.73766E-10,1.4751E-05,9499.003568,5
PgB02X_g187,23,2.98769E-05,2.43688E-05,23726.00105,23
PgB02X_g197,9,2.49639E-07,2.11421E-05,12984.68839,9
PgB02X_g199,46,6.96129E-06,2.4747E-05,26424.23402,46
PgB02X_g201,95,1.32956E-05,2.57606E-05,49718.04242,95
PgB02X_g204,9,2.35567E-09,1.80937E-05,10084.56444,9
PgB02X_g029,41,2.66224E-05,2.53904E-05,28963.32097,41
PgB01_g088,9,1.46347E-05,2.17794E-05,34930.28616,9
PgB02X_g212,17,0.0012013,2.32288E-05,7436.887805,17
PgB02X_g218,9,6.26417E-07,2.13584E-05,2555.904801,9
PgB02X_g219,20,3.94877E-05,2.3801E-05,15711.69201,20
PgB02X_g220,253,0.621183552,2.34434E-05,13501.67151,253
PgB03_g001,48,5.94229E-05,2.4226E-05,9416.77756,48
PgB03_g002,65,0.114732461,2.22836E-05,6025.124691,65
PgB03_g003,205,0.484508554,2.29247E-05,13789.87946,205
PgB03_g016,14,0.000461568,2.28571E-05,15652.06932,14
PgB03_g018,10,0.001527168,2.27195E-05,7514.695407,10
PgB03_g024,8,6.87415E-08,1.99677E-05,13587.11745,8
PgB03_g025,7,2.02161E-06,2.19688E-05,511.2834048,7
PgB03_g028,37,8.91708E-06,2.41278E-05,14912.72415,37
PgB03_g032,4,1.02658E-06,2.07784E-05,667.0919381,4
PgB03_g035,105,0.206592308,2.38356E-05,12446.94621,105
PgB03_g036,286,0.627257544,2.39234E-05,9552.845492,286
PgB03_g038,75,6.17244E-05,2.67946E-05,114551.4704,75
PgB02X_g208,28,0.002231257,2.55317E-05,36419.39836,28
PgB03_g039,37,0.003771225,2.50583E-05,21838.65471,37
PgB03_g043,30,1.60712E-05,2.46257E-05,14209.40767,30
PgB03_g044,18,1.69128E-05,2.33068E-05,3117.457336,18
PgB03_g046,70,0.00012097,2.60444E-05,42290.39343,70
PgB03_g048,103,0.04311185,2.61185E-05,106275.5705,103
PgB03_g049,106,0.000328962,2.66766E-05,120150.2065,106
PgB03_g059,10,2.4783E-06,2.21789E-05,34214.97486,10
PgB03_g060,8,3.83755E-05,2.01422E-05,33239.56217,8
