Gene
PgR022X_g031
PgR032X_g118
PgR022X_g032
PgR013_g095
PgB08_g086
PgR068_g010
PgR037_g038
PgB11_g004
PgR166_g010
PgR022X_g030
PgR013_g090
PgR004_g037
PgR004_g210
PgR008_g217
PgR008_g036
PgR004_g122
PgR056X_g007
PgR047_g066
PgR005X_g207
PgR019_g084
PgR099_g031
PgR015_g046
PgB21_g034
PgR005X_g200
PgR026_g081
PgR007_g010
PgR023_g124
PgR003_g108
PgR021_g024
PgR010_g007
PgR017X_g114
PgR075_g041
PgR010_g008
PgR006_g054
PgR010_g006
PgR008_g188
PgR008_g095
PgB08_g035
PgR041_g021
PgR040_g024
PgR002_g274
PgB13_g033
PgR019_g149
PgR007_g073
PgB05_g017
PgR007_g074
PgB27X_g004
PgB05_g014
PgR133_g001
PgR004_g156
PgR028_g125
PgR034_g082
PgR093_g010
PgB09_g035
PgR020_g075
PgR003_g062
PgR014X_g130
PgR093_g009
PgR003_g063
PgR093_g002
PgR014X_g035
PgR030_g017
PgR011_g063
PgR050X_g009
PgB08_g034
PgR009X_g014
PgR061_g027
PgB01_g120
PgR100X_g007
PgR006_g081
PgR037_g043
PgR063X_g050
