source,term_id,driver_term,term_name,term_size,effective_domain_size,p_value,intersection_size,intersection
GO:BP,GO:0006518,TRUE,peptide metabolic process,240,11809,3.5801806229719014e-17,78,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR007_g150,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR019_g079,PgR021_g072,PgR027_g119,PgR028_g005,PgR028_g124,PgR029_g047,PgR030_g059,PgR030_g060,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR051X_g076,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR139_g005,PgR169_g006,PgR229_g002,PgR284_g004,PgR306_g002"
GO:BP,GO:0043043,FALSE,peptide biosynthetic process,230,11809,1.4827616377553712e-16,75,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR007_g150,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR028_g005,PgR028_g124,PgR029_g047,PgR030_g059,PgR030_g060,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR139_g005,PgR169_g006,PgR229_g002,PgR284_g004,PgR306_g002"
GO:BP,GO:0006412,FALSE,translation,226,11809,1.9670306923673698e-16,74,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR007_g150,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR028_g005,PgR028_g124,PgR029_g047,PgR030_g059,PgR030_g060,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR169_g006,PgR229_g002,PgR284_g004,PgR306_g002"
GO:BP,GO:0043604,FALSE,amide biosynthetic process,245,11809,2.2054009468887217e-15,76,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR007_g150,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR028_g005,PgR028_g124,PgR029_g047,PgR030_g059,PgR030_g060,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR074X_g016,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR139_g005,PgR169_g006,PgR229_g002,PgR284_g004,PgR306_g002"
GO:BP,GO:0043603,FALSE,amide metabolic process,268,11809,1.3471448217964341e-14,79,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR007_g150,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR019_g079,PgR021_g072,PgR027_g119,PgR028_g005,PgR028_g124,PgR029_g047,PgR030_g059,PgR030_g060,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR051X_g076,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR074X_g016,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR139_g005,PgR169_g006,PgR229_g002,PgR284_g004,PgR306_g002"
GO:BP,GO:1901566,FALSE,organonitrogen compound biosynthetic process,406,11809,2.2695756064170394e-8,89,"PgB01_g225,PgB03_g078,PgB03_g100,PgB04_g093,PgB05_g027,PgB05_g051,PgB05_g149,PgB06_g076,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g117,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR007_g150,PgR009X_g003,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR013_g026,PgR015_g083,PgR016_g135,PgR017X_g064,PgR018_g076,PgR018_g118,PgR018_g124,PgR019_g005,PgR021_g072,PgR028_g005,PgR028_g124,PgR029_g047,PgR030_g059,PgR030_g060,PgR032X_g120,PgR034_g113,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g026,PgR039_g077,PgR040_g029,PgR042_g045,PgR043_g055,PgR043_g060,PgR044_g012,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR058_g054,PgR062_g016,PgR062_g057,PgR065_g056,PgR068_g036,PgR074X_g016,PgR076_g018,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR139_g005,PgR169_g006,PgR216X_g002,PgR229_g002,PgR284_g004,PgR306_g002"
GO:BP,GO:0044271,FALSE,cellular nitrogen compound biosynthetic process,708,11809,0.002328728369846276,115,"PgB01_g109,PgB01_g225,PgB03_g078,PgB03_g085,PgB03_g100,PgB03_g133,PgB04_g036,PgB04_g093,PgB04_g181,PgB05_g027,PgB05_g149,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR002_g011,PgR002_g117,PgR002_g150,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR007_g021,PgR007_g150,PgR009X_g003,PgR009X_g211,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g190,PgR011_g195,PgR013_g026,PgR013_g132,PgR015_g083,PgR015_g128,PgR016_g019,PgR016_g091,PgR016_g135,PgR017X_g064,PgR018_g076,PgR018_g077,PgR018_g118,PgR018_g124,PgR019_g005,PgR019_g071,PgR021_g072,PgR023_g030,PgR023_g046,PgR023_g074,PgR025_g001,PgR025_g053,PgR028_g005,PgR028_g124,PgR029_g047,PgR030_g059,PgR030_g060,PgR031_g064,PgR032X_g120,PgR034_g113,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR038X_g089,PgR039_g077,PgR040_g029,PgR042_g045,PgR043_g055,PgR044_g012,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR050X_g057,PgR052_g034,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR059_g063,PgR062_g016,PgR062_g057,PgR065_g056,PgR068_g036,PgR072X_g004,PgR074X_g016,PgR076_g018,PgR078_g010,PgR084X_g042,PgR092_g008,PgR092_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR137_g015,PgR139_g005,PgR142_g009,PgR143_g010,PgR155_g005,PgR169_g006,PgR182_g001,PgR229_g002,PgR237_g002,PgR284_g004,PgR306_g002"
GO:BP,GO:0019538,FALSE,protein metabolic process,1162,11809,0.04383745147250966,166,"PgB01_g020,PgB01_g058,PgB01_g171,PgB01_g225,PgB01_g238,PgB02X_g006,PgB03_g078,PgB03_g100,PgB03_g157,PgB04_g093,PgB04_g129,PgB05_g027,PgB05_g125,PgB05_g149,PgB06_g076,PgB06_g118,PgB07_g009,PgB08_g033,PgB08_g065,PgB10_g017,PgB10_g070,PgB11_g065,PgB12X_g057,PgB13_g043,PgB14X_g051,PgB15_g038,PgB16_g011,PgB17_g028,PgB18_g007,PgB20_g001,PgR001X_g060,PgR001X_g177,PgR001X_g267,PgR002_g150,PgR002_g254,PgR003_g001,PgR003_g263,PgR004_g053,PgR004_g082,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR006_g111,PgR006_g165,PgR007_g031,PgR007_g150,PgR009X_g003,PgR009X_g079,PgR009X_g095,PgR009X_g243,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR010_g212,PgR011_g073,PgR011_g189,PgR011_g195,PgR012_g185,PgR013_g026,PgR014X_g001,PgR014X_g005,PgR015_g083,PgR016_g012,PgR016_g129,PgR017X_g029,PgR017X_g044,PgR017X_g064,PgR018_g076,PgR018_g117,PgR018_g118,PgR019_g005,PgR019_g079,PgR019_g119,PgR019_g151,PgR021_g014,PgR021_g072,PgR022X_g068,PgR025_g012,PgR025_g053,PgR025_g056,PgR026_g075,PgR027_g053,PgR027_g119,PgR028_g005,PgR028_g124,PgR029_g047,PgR030_g059,PgR030_g060,PgR031_g057,PgR032X_g027,PgR032X_g120,PgR034_g048,PgR036_g010,PgR036_g069,PgR037_g047,PgR038X_g010,PgR038X_g041,PgR038X_g051,PgR038X_g088,PgR039_g046,PgR039_g077,PgR040_g061,PgR042_g045,PgR043_g055,PgR043_g060,PgR043_g091,PgR044_g043,PgR045_g034,PgR045_g069,PgR045_g080,PgR046_g081,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR051X_g006,PgR051X_g057,PgR052_g017,PgR052_g043,PgR052_g060,PgR053_g031,PgR053_g032,PgR054_g033,PgR056X_g045,PgR057_g002,PgR057_g014,PgR058_g003,PgR058_g054,PgR062_g001,PgR062_g016,PgR062_g057,PgR064_g040,PgR064_g042,PgR065_g056,PgR066_g030,PgR067_g052,PgR070_g019,PgR072X_g009,PgR072X_g025,PgR076_g018,PgR084X_g042,PgR089_g014,PgR089_g031,PgR092_g008,PgR092_g021,PgR093_g021,PgR101_g012,PgR102_g036,PgR118_g006,PgR118_g007,PgR121_g004,PgR123_g014,PgR125_g014,PgR137_g007,PgR137_g015,PgR138_g014,PgR160_g006,PgR169_g006,PgR185X_g002,PgR229_g002,PgR277_g003,PgR284_g004,PgR306_g002"
GO:CC,GO:0005840,TRUE,ribosome,134,11809,6.129222983759434e-26,65,"PgB01_g225,PgB02X_g104,PgB03_g100,PgB04_g093,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR015_g083,PgR017X_g064,PgR018_g076,PgR018_g118,PgR019_g005,PgR021_g072,PgR027_g135,PgR028_g005,PgR028_g124,PgR029_g047,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR062_g016,PgR062_g057,PgR065_g056,PgR076_g018,PgR092_g008,PgR092_g021,PgR102_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR169_g006,PgR229_g002,PgR306_g002"
GO:CC,GO:0043232,FALSE,intracellular non-membrane-bounded organelle,369,11809,2.8691451419606597e-12,91,"PgB01_g109,PgB01_g225,PgB01_g237,PgB02X_g104,PgB02X_g211,PgB03_g065,PgB03_g100,PgB04_g093,PgB05_g141,PgB08_g065,PgB11_g065,PgB13_g043,PgB18_g007,PgB20_g001,PgB29_g006,PgR003_g008,PgR003_g194,PgR003_g263,PgR004_g053,PgR004_g183,PgR004_g221,PgR004_g238,PgR005X_g078,PgR005X_g147,PgR005X_g182,PgR009X_g003,PgR009X_g211,PgR010_g013,PgR010_g045,PgR010_g121,PgR010_g123,PgR011_g073,PgR011_g195,PgR012_g086,PgR015_g005,PgR015_g083,PgR016_g048,PgR017X_g064,PgR018_g076,PgR018_g118,PgR018_g139,PgR019_g005,PgR019_g020,PgR021_g072,PgR022X_g083,PgR023_g117,PgR027_g135,PgR027_g140,PgR028_g005,PgR028_g124,PgR029_g047,PgR030_g085,PgR032X_g087,PgR032X_g120,PgR036_g069,PgR038X_g041,PgR038X_g088,PgR039_g003,PgR039_g077,PgR042_g045,PgR043_g055,PgR044_g043,PgR045_g080,PgR047_g068,PgR048_g012,PgR048_g049,PgR048_g054,PgR052_g007,PgR052_g043,PgR052_g060,PgR053_g032,PgR054_g033,PgR056X_g045,PgR058_g003,PgR061_g036,PgR062_g016,PgR062_g057,PgR063X_g015,PgR063X_g017,PgR065_g056,PgR076_g018,PgR092_g008,PgR092_g021,PgR102_g021,PgR102_g036,PgR123_g014,PgR137_g007,PgR142_g009,PgR169_g006,PgR229_g002,PgR306_g002"
