source,term_id,driver_term,term_name,term_size,effective_domain_size,p_value,intersection_size,intersection
GO:BP,GO:0006796,TRUE,phosphate-containing compound metabolic process,578,11091,4.947639920302846e-17,104,"PgB01_g020,PgB02X_g220,PgB03_g003,PgB01_g070,PgB04_g119,PgB05_g023,PgB05_g079,PgB05_g112,PgB05_g123,PgB05_g125,PgB06_g095,PgB01_g216,PgB15_g017,PgB17_g015,PgB17_g028,PgB20_g022,PgB22_g041,PgE021_g005,PgE040_g003,PgE056_g003,PgE063_g004,PgE078_g001,PgE080_g003,PgE081_g002,PgE081_g003,PgE097_g003,PgE112_g001,PgE156_g001,PgE277_g001,PgE293_g001,PgE489_g001,PgR002_g001,PgR002_g167,PgR002_g267,PgR006_g078,PgR007_g134,PgR007_g152,PgR004_g097,PgR008_g208,PgR010_g106,PgB09_g074,PgR011_g022,PgR011_g184,PgR012_g020,PgR012_g140,PgR013_g058,PgR013_g129,PgR018_g012,PgR018_g038,PgR019_g101,PgR019_g119,PgR022X_g039,PgR024_g099,PgR025_g038,PgR026_g075,PgR027_g053,PgR028_g001,PgR028_g039,PgR029_g053,PgR030_g009,PgR030_g010,PgR031_g050,PgR033_g019,PgR036_g096,PgR037_g044,PgR042_g024,PgR043_g077,PgR043_g080,PgR044_g040,PgR044_g052,PgR044_g053,PgR045_g024,PgR046_g075,PgR046_g081,PgR047_g037,PgR047_g057,PgR047_g067,PgR048_g048,PgR048_g051,PgR050X_g021,PgR054_g048,PgR059_g037,PgR066_g019,PgB01_g012,PgR069_g010,PgR076_g020,PgR078_g001,PgR081_g012,PgR081_g025,PgR096_g009,PgR105_g032,PgR118_g006,PgR118_g007,PgR118_g021,PgR125_g005,PgR125_g015,PgR129_g011,PgR160_g006,PgR194_g002,PgR219_g004,PgR253_g003,PgR003_g204,PgR019_g094,PgB15_g006"
GO:BP,GO:0006793,FALSE,phosphorus metabolic process,581,11091,7.336722400156835e-17,104,"PgB01_g020,PgB02X_g220,PgB03_g003,PgB01_g070,PgB04_g119,PgB05_g023,PgB05_g079,PgB05_g112,PgB05_g123,PgB05_g125,PgB06_g095,PgB01_g216,PgB15_g017,PgB17_g015,PgB17_g028,PgB20_g022,PgB22_g041,PgE021_g005,PgE040_g003,PgE056_g003,PgE063_g004,PgE078_g001,PgE080_g003,PgE081_g002,PgE081_g003,PgE097_g003,PgE112_g001,PgE156_g001,PgE277_g001,PgE293_g001,PgE489_g001,PgR002_g001,PgR002_g167,PgR002_g267,PgR006_g078,PgR007_g134,PgR007_g152,PgR004_g097,PgR008_g208,PgR010_g106,PgB09_g074,PgR011_g022,PgR011_g184,PgR012_g020,PgR012_g140,PgR013_g058,PgR013_g129,PgR018_g012,PgR018_g038,PgR019_g101,PgR019_g119,PgR022X_g039,PgR024_g099,PgR025_g038,PgR026_g075,PgR027_g053,PgR028_g001,PgR028_g039,PgR029_g053,PgR030_g009,PgR030_g010,PgR031_g050,PgR033_g019,PgR036_g096,PgR037_g044,PgR042_g024,PgR043_g077,PgR043_g080,PgR044_g040,PgR044_g052,PgR044_g053,PgR045_g024,PgR046_g075,PgR046_g081,PgR047_g037,PgR047_g057,PgR047_g067,PgR048_g048,PgR048_g051,PgR050X_g021,PgR054_g048,PgR059_g037,PgR066_g019,PgB01_g012,PgR069_g010,PgR076_g020,PgR078_g001,PgR081_g012,PgR081_g025,PgR096_g009,PgR105_g032,PgR118_g006,PgR118_g007,PgR118_g021,PgR125_g005,PgR125_g015,PgR129_g011,PgR160_g006,PgR194_g002,PgR219_g004,PgR253_g003,PgR003_g204,PgR019_g094,PgB15_g006"
GO:BP,GO:0006468,FALSE,protein phosphorylation,308,11091,1.901343268452516e-16,70,"PgB01_g020,PgB02X_g220,PgB03_g003,PgB01_g070,PgB04_g119,PgB05_g023,PgB05_g112,PgB05_g123,PgB17_g015,PgB17_g028,PgB22_g041,PgE021_g005,PgE040_g003,PgE056_g003,PgE063_g004,PgE078_g001,PgE080_g003,PgE156_g001,PgE277_g001,PgE489_g001,PgR002_g167,PgR002_g267,PgR006_g078,PgR007_g134,PgB09_g074,PgR011_g022,PgR012_g020,PgR012_g140,PgR013_g058,PgR018_g012,PgR019_g101,PgR019_g119,PgR022X_g039,PgR025_g038,PgR026_g075,PgR027_g053,PgR028_g039,PgR029_g053,PgR030_g010,PgR031_g050,PgR037_g044,PgR042_g024,PgR043_g077,PgR043_g080,PgR044_g040,PgR044_g052,PgR045_g024,PgR046_g075,PgR047_g037,PgR047_g057,PgR047_g067,PgR048_g048,PgR048_g051,PgR050X_g021,PgR054_g048,PgR059_g037,PgR066_g019,PgR069_g010,PgR081_g025,PgR096_g009,PgR105_g032,PgR118_g006,PgR118_g007,PgR118_g021,PgR125_g005,PgR125_g015,PgR160_g006,PgR219_g004,PgR253_g003,PgR019_g094"
GO:BP,GO:0016310,FALSE,phosphorylation,313,11091,4.853308739530568e-16,70,"PgB01_g020,PgB02X_g220,PgB03_g003,PgB01_g070,PgB04_g119,PgB05_g023,PgB05_g112,PgB05_g123,PgB17_g015,PgB17_g028,PgB22_g041,PgE021_g005,PgE040_g003,PgE056_g003,PgE063_g004,PgE078_g001,PgE080_g003,PgE156_g001,PgE277_g001,PgE489_g001,PgR002_g167,PgR002_g267,PgR006_g078,PgR007_g134,PgB09_g074,PgR011_g022,PgR012_g020,PgR012_g140,PgR013_g058,PgR018_g012,PgR019_g101,PgR019_g119,PgR022X_g039,PgR025_g038,PgR026_g075,PgR027_g053,PgR028_g039,PgR029_g053,PgR030_g010,PgR031_g050,PgR037_g044,PgR042_g024,PgR043_g077,PgR043_g080,PgR044_g040,PgR044_g052,PgR045_g024,PgR046_g075,PgR047_g037,PgR047_g057,PgR047_g067,PgR048_g048,PgR048_g051,PgR050X_g021,PgR054_g048,PgR059_g037,PgR066_g019,PgR069_g010,PgR081_g025,PgR096_g009,PgR105_g032,PgR118_g006,PgR118_g007,PgR118_g021,PgR125_g005,PgR125_g015,PgR160_g006,PgR219_g004,PgR253_g003,PgR019_g094"
GO:BP,GO:0036211,FALSE,protein modification process,611,11091,1.6915861101308318e-12,98,"PgB01_g020,PgB02X_g220,PgB03_g003,PgB01_g070,PgB04_g119,PgB05_g023,PgB05_g079,PgB05_g112,PgB05_g123,PgB05_g125,PgB01_g216,PgB17_g015,PgB17_g028,PgB20_g022,PgB22_g041,PgE021_g005,PgE040_g003,PgE056_g003,PgE063_g004,PgE064_g002,PgE078_g001,PgE080_g003,PgE156_g001,PgE277_g001,PgE293_g001,PgE489_g001,PgR002_g001,PgR002_g167,PgR002_g267,PgR006_g078,PgR007_g134,PgR007_g152,PgR004_g097,PgR008_g208,PgR010_g106,PgB09_g074,PgR011_g022,PgR011_g184,PgR012_g020,PgR012_g140,PgR013_g058,PgR018_g012,PgR018_g038,PgR019_g101,PgR019_g119,PgR022X_g039,PgR025_g038,PgR026_g075,PgR027_g053,PgR028_g001,PgR028_g039,PgR029_g053,PgR030_g009,PgR030_g010,PgR031_g050,PgR036_g033,PgR036_g096,PgR037_g044,PgR041_g088,PgR042_g024,PgR043_g077,PgR043_g080,PgR044_g040,PgR044_g052,PgR044_g053,PgR045_g024,PgR046_g075,PgR046_g081,PgR047_g037,PgR047_g057,PgR047_g067,PgR048_g048,PgR048_g051,PgR050X_g021,PgR054_g013,PgR054_g048,PgR057_g055,PgR059_g037,PgR066_g019,PgB01_g012,PgR069_g010,PgR076_g020,PgR078_g001,PgR081_g012,PgR081_g025,PgR096_g009,PgR105_g032,PgR118_g006,PgR118_g007,PgR118_g021,PgR125_g005,PgR125_g015,PgR129_g011,PgR160_g006,PgR194_g002,PgR219_g004,PgR253_g003,PgR019_g094"
GO:BP,GO:0043412,FALSE,macromolecule modification,663,11091,3.0562972494675374e-10,98,"PgB01_g020,PgB02X_g220,PgB03_g003,PgB01_g070,PgB04_g119,PgB05_g023,PgB05_g079,PgB05_g112,PgB05_g123,PgB05_g125,PgB01_g216,PgB17_g015,PgB17_g028,PgB20_g022,PgB22_g041,PgE021_g005,PgE040_g003,PgE056_g003,PgE063_g004,PgE064_g002,PgE078_g001,PgE080_g003,PgE156_g001,PgE277_g001,PgE293_g001,PgE489_g001,PgR002_g001,PgR002_g167,PgR002_g267,PgR006_g078,PgR007_g134,PgR007_g152,PgR004_g097,PgR008_g208,PgR010_g106,PgB09_g074,PgR011_g022,PgR011_g184,PgR012_g020,PgR012_g140,PgR013_g058,PgR018_g012,PgR018_g038,PgR019_g101,PgR019_g119,PgR022X_g039,PgR025_g038,PgR026_g075,PgR027_g053,PgR028_g001,PgR028_g039,PgR029_g053,PgR030_g009,PgR030_g010,PgR031_g050,PgR036_g033,PgR036_g096,PgR037_g044,PgR041_g088,PgR042_g024,PgR043_g077,PgR043_g080,PgR044_g040,PgR044_g052,PgR044_g053,PgR045_g024,PgR046_g075,PgR046_g081,PgR047_g037,PgR047_g057,PgR047_g067,PgR048_g048,PgR048_g051,PgR050X_g021,PgR054_g013,PgR054_g048,PgR057_g055,PgR059_g037,PgR066_g019,PgB01_g012,PgR069_g010,PgR076_g020,PgR078_g001,PgR081_g012,PgR081_g025,PgR096_g009,PgR105_g032,PgR118_g006,PgR118_g007,PgR118_g021,PgR125_g005,PgR125_g015,PgR129_g011,PgR160_g006,PgR194_g002,PgR219_g004,PgR253_g003,PgR019_g094"
GO:BP,GO:0006470,FALSE,protein dephosphorylation,80,11091,1.1002140851719193e-6,23,"PgB05_g079,PgB05_g125,PgB01_g216,PgB20_g022,PgE293_g001,PgR002_g001,PgR007_g152,PgR004_g097,PgR008_g208,PgR010_g106,PgR011_g184,PgR018_g038,PgR028_g001,PgR030_g009,PgR036_g096,PgR044_g053,PgR046_g081,PgB01_g012,PgR076_g020,PgR078_g001,PgR081_g012,PgR129_g011,PgR194_g002"
GO:BP,GO:0016311,FALSE,dephosphorylation,92,11091,4.228286982763678e-6,24,"PgB05_g079,PgB05_g125,PgB01_g216,PgB15_g017,PgB20_g022,PgE293_g001,PgR002_g001,PgR007_g152,PgR004_g097,PgR008_g208,PgR010_g106,PgR011_g184,PgR018_g038,PgR028_g001,PgR030_g009,PgR036_g096,PgR044_g053,PgR046_g081,PgB01_g012,PgR076_g020,PgR078_g001,PgR081_g012,PgR129_g011,PgR194_g002"
GO:BP,GO:0019538,FALSE,protein metabolic process,1125,11091,0.002912313641259354,117,"PgB01_g020,PgB02X_g220,PgB03_g003,PgB01_g070,PgB04_g119,PgB05_g023,PgB05_g079,PgB05_g112,PgB05_g123,PgB05_g125,PgB09_g031,PgB09_g032,PgB01_g216,PgB17_g015,PgB17_g028,PgB20_g022,PgB22_g041,PgB32_g009,PgB41X_g004,PgE007_g004,PgE021_g005,PgE040_g003,PgE045_g002,PgE056_g003,PgE063_g004,PgE064_g002,PgE078_g001,PgE080_g003,PgE156_g001,PgE277_g001,PgE293_g001,PgE489_g001,PgR002_g001,PgR002_g167,PgR002_g267,PgR004_g144,PgR006_g078,PgR007_g134,PgR007_g152,PgR004_g097,PgR008_g030,PgR008_g208,PgR009X_g025,PgR010_g099,PgR010_g106,PgB09_g074,PgR011_g022,PgR011_g184,PgR012_g020,PgR012_g140,PgR013_g058,PgR018_g012,PgR018_g034,PgR018_g038,PgR019_g101,PgR019_g119,PgR022X_g039,PgR024_g109,PgR025_g038,PgR026_g075,PgR027_g053,PgR028_g001,PgR028_g039,PgR029_g021,PgR029_g053,PgR030_g009,PgR030_g010,PgR031_g050,PgR036_g033,PgR036_g096,PgR037_g044,PgR041_g088,PgR042_g024,PgR043_g077,PgR043_g080,PgR044_g040,PgR044_g052,PgR044_g053,PgR045_g024,PgR046_g075,PgR046_g081,PgR047_g037,PgR047_g057,PgR047_g067,PgR048_g048,PgR048_g051,PgR050X_g021,PgR054_g013,PgR054_g048,PgR057_g055,PgR058_g009,PgR059_g037,PgR066_g009,PgR066_g019,PgB01_g012,PgR069_g010,PgR070_g003,PgR076_g020,PgR078_g001,PgR081_g012,PgR081_g025,PgR096_g009,PgR105_g032,PgR118_g006,PgR118_g007,PgR118_g021,PgR121_g010,PgR125_g005,PgR125_g013,PgR125_g015,PgR129_g011,PgR160_g006,PgR194_g002,PgR219_g004,PgR253_g003,PgR029_g057,PgR019_g094"
GO:BP,GO:1901564,FALSE,organonitrogen compound metabolic process,1319,11091,0.00322042587882026,133,"PgB01_g020,PgB02X_g220,PgB03_g003,PgB01_g070,PgB04_g119,PgB05_g023,PgB05_g079,PgB05_g112,PgB05_g123,PgB05_g125,PgB09_g031,PgB09_g032,PgB01_g216,PgB17_g015,PgB17_g028,PgB20_g022,PgB22_g041,PgB32_g009,PgB36X_g004,PgB41X_g004,PgE007_g004,PgE021_g005,PgE040_g003,PgE045_g002,PgE050_g001,PgE056_g003,PgE063_g004,PgE064_g002,PgE078_g001,PgE080_g003,PgE097_g003,PgE112_g001,PgE156_g001,PgE167_g001,PgE216_g001,PgE277_g001,PgE293_g001,PgE489_g001,PgR002_g001,PgR002_g167,PgR002_g267,PgR004_g144,PgR006_g078,PgR007_g134,PgR007_g152,PgR004_g097,PgR008_g030,PgR008_g208,PgR009X_g025,PgR010_g099,PgR010_g106,PgR010_g146,PgB09_g074,PgR011_g022,PgR011_g184,PgR012_g020,PgR012_g061,PgR012_g140,PgR013_g058,PgR013_g129,PgR018_g012,PgR018_g034,PgR018_g038,PgR019_g101,PgR019_g119,PgR022X_g039,PgR024_g099,PgR024_g109,PgR025_g038,PgR026_g075,PgR027_g053,PgR028_g001,PgR028_g039,PgR029_g021,PgR029_g053,PgR030_g009,PgR030_g010,PgR030_g046,PgR031_g050,PgR033_g019,PgR036_g033,PgR036_g096,PgR037_g044,PgR039_g095,PgR041_g088,PgR042_g024,PgR043_g077,PgR043_g080,PgR044_g040,PgR044_g052,PgR044_g053,PgR045_g024,PgR046_g075,PgR046_g081,PgR047_g037,PgR047_g057,PgR047_g067,PgR048_g048,PgR048_g051,PgR050X_g021,PgR054_g013,PgR054_g048,PgR057_g055,PgR058_g009,PgR059_g037,PgR066_g009,PgR066_g019,PgB01_g012,PgR069_g010,PgR070_g003,PgR076_g020,PgR078_g001,PgR081_g012,PgR081_g025,PgR096_g009,PgR105_g032,PgR118_g006,PgR118_g007,PgR118_g021,PgR121_g010,PgR125_g005,PgR125_g013,PgR125_g015,PgR129_g011,PgR156_g015,PgR160_g006,PgR194_g002,PgR219_g004,PgR253_g003,PgR006_g043,PgR029_g057,PgR019_g094,PgB15_g006"
