Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgE412_g001,31.66,6.40,2.61,2.45,0.01,0.08
PgE417_g001,8.94,0.64,2.48,0.26,0.80,0.90
PgE419_g001,1.56,3.05,5.12,0.60,0.55,0.74
PgE420_g001,170.72,0.14,0.34,0.40,0.69,0.83
PgE423_g001,13.99,2.58,2.09,1.24,0.22,0.43
PgE425_g001,5.96,1.27,2.62,0.49,0.63,0.79
PgE425_g003,3.43,1.46,2.59,0.56,0.57,0.76
PgE427_g001,275.93,0.80,0.71,1.13,0.26,0.48
PgE432_g001,3.19,4.73,5.13,0.92,0.36,0.58
PgE438_g001,15.36,1.31,0.76,1.73,0.08,0.24
PgE451_g001,63.59,0.46,0.29,1.58,0.11,0.29
PgE457_g001,8.84,3.12,2.35,1.33,0.18,0.39
PgE458_g001,10.48,2.66,2.07,1.29,0.20,0.41
PgE459_g001,273.41,1.13,1.71,0.66,0.51,0.71
PgE460_g001,36.24,0.44,0.50,0.87,0.38,0.60
PgE469_g001,17.63,5.66,2.12,2.67,0.01,0.05
PgE470_g001,4.71,3.22,2.31,1.39,0.16,0.37
PgE471_g001,6.57,2.51,2.75,0.91,0.36,0.58
PgE475_g001,7.36,1.58,2.18,0.72,0.47,0.68
PgE478_g001,8.97,3.21,2.38,1.35,0.18,0.38
PgE483_g001,139.98,0.16,0.30,0.55,0.58,0.76
PgE485_g001,9.12,0.61,1.84,0.33,0.74,0.86
PgE489_g001,1.65,3.31,5.51,0.60,0.55,0.74
PgE493_g001,75.69,0.17,0.27,0.64,0.52,0.72
PgE495_g001,2093.15,0.13,0.46,0.28,0.78,0.88
PgE498_g001,4.52,3.57,2.96,1.21,0.23,0.45
PgE502_g001,21.40,6.75,2.75,2.46,0.01,0.08
PgE504_g001,106.56,0.29,0.38,0.76,0.45,0.66
PgE510_g001,470.22,-0.29,0.18,-1.61,0.11,0.28
PgE529_g001,283.40,-0.35,0.30,-1.17,0.24,0.46
PgE530_g001,3.59,2.12,4.00,0.53,0.60,0.77
PgE535_g001,5.65,1.05,3.32,0.32,0.75,0.87
PgE543_g001,5.27,2.64,3.01,0.88,0.38,0.60
PgE547_g001,71.75,0.18,0.23,0.82,0.41,0.63
PgE559_g001,2.28,2.23,3.48,0.64,0.52,0.72
PgE562_g001,3.39,0.00,2.24,0.00,1.00,1.00
PgE568_g001,3.90,1.34,2.38,0.56,0.57,0.76
PgE569_g001,121.36,0.14,0.58,0.24,0.81,0.90
PgE571_g001,62.71,0.65,0.44,1.48,0.14,0.33
PgE572_g001,64.85,0.48,0.35,1.36,0.17,0.38
PgE573_g001,182.96,0.23,0.23,0.99,0.32,0.55
PgE575_g002,10.32,6.87,2.69,2.55,0.01,0.06
PgE597_g001,10.01,0.64,0.93,0.68,0.49,0.70
PgE604_g001,32.48,0.55,0.48,1.15,0.25,0.47
PgE616_g001,8.00,6.38,3.40,1.87,0.06,0.20
PgE636_g001,20.77,6.37,2.19,2.91,0.00,0.03
PgE641_g001,9.44,3.09,2.43,1.27,0.20,0.42
PgE642_g001,3.20,1.53,3.07,0.50,0.62,0.78
PgE644_g001,16.82,0.82,0.76,1.09,0.28,0.50
PgE645_g001,166.05,0.42,0.32,1.32,0.19,0.40
PgE660_g001,29.64,1.02,0.75,1.36,0.17,0.38
PgE661_g001,102.04,-1.59,1.44,-1.11,0.27,0.49
PgE673_g001,6.16,0.74,1.48,0.50,0.62,0.79
PgE674_g001,85.32,0.94,0.51,1.83,0.07,0.21
PgE732_g001,3.32,1.75,2.41,0.73,0.47,0.67
PgE754_g001,19568.29,-1.24,1.57,-0.79,0.43,0.64
PgR001X_g002,3084.14,-0.18,0.13,-1.37,0.17,0.37
PgR001X_g003,884.58,0.36,0.23,1.58,0.11,0.29
PgR001X_g004,79.19,2.40,0.97,2.46,0.01,0.08
PgR001X_g005,3.16,3.06,1.28,2.39,0.02,0.08
PgR001X_g006,9.62,1.77,0.96,1.85,0.06,0.20
PgR001X_g007,672.53,1.19,0.48,2.48,0.01,0.07
PgR001X_g008,605.33,2.05,1.26,1.62,0.10,0.28
PgR001X_g010,3094.35,-0.41,0.24,-1.74,0.08,0.24
PgR001X_g011,17.55,3.98,1.08,3.69,0.00,0.00
PgR001X_g012,630.13,-0.13,0.19,-0.70,0.49,0.69
PgR001X_g014,6.60,6.04,1.46,4.14,0.00,0.00
PgR001X_g015,3401.44,0.30,0.21,1.43,0.15,0.35
PgR001X_g016,69.83,1.40,0.74,1.89,0.06,0.19
PgR001X_g017,68752.01,0.56,0.45,1.24,0.22,0.43
PgR001X_g018,13.32,-0.93,1.74,-0.54,0.59,0.77
PgR001X_g019,8.09,3.58,2.37,1.51,0.13,0.32
PgR001X_g020,5177.38,0.07,0.49,0.14,0.89,0.95
PgR001X_g021,2.90,-1.72,2.25,-0.77,0.44,0.65
PgR001X_g022,518.03,0.61,0.81,0.76,0.45,0.66
PgR001X_g023,36.46,-0.76,0.47,-1.61,0.11,0.28
PgR001X_g024,15507.70,1.30,0.54,2.43,0.02,0.08
PgR001X_g025,3834.86,-0.85,0.46,-1.83,0.07,0.21
PgR001X_g027,688.41,0.27,0.25,1.08,0.28,0.50
PgR001X_g028,1176.96,0.16,0.24,0.65,0.51,0.71
PgR001X_g029,721.43,-0.55,1.14,-0.48,0.63,0.80
PgR001X_g030,1820.26,-1.07,0.46,-2.32,0.02,0.10
PgR001X_g031,1190.23,0.60,0.89,0.67,0.50,0.70
PgR001X_g032,58.64,0.42,0.97,0.43,0.67,0.82
PgR001X_g034,71.12,1.57,0.54,2.93,0.00,0.03
PgR001X_g035,1877.70,-0.27,0.21,-1.30,0.19,0.40
PgR001X_g036,729.00,0.63,0.83,0.76,0.45,0.66
PgR001X_g037,7.13,-1.12,1.66,-0.67,0.50,0.70
PgR001X_g038,2508.46,-0.55,0.24,-2.24,0.03,0.11
PgR001X_g040,946.96,0.16,0.19,0.82,0.41,0.63
PgR001X_g041,8.40,7.71,1.46,5.29,0.00,0.00
PgR001X_g042,860.34,0.41,0.83,0.49,0.62,0.79
PgR001X_g043,434.91,1.93,0.79,2.45,0.01,0.08
PgR001X_g044,2137.43,1.84,0.70,2.61,0.01,0.06
PgR001X_g045,2199.19,-0.70,0.32,-2.22,0.03,0.11
PgR001X_g047,516.54,-0.15,0.38,-0.40,0.69,0.83
PgR001X_g049,945.50,0.23,0.20,1.17,0.24,0.46
PgR001X_g052,1808.40,-0.13,0.13,-0.94,0.35,0.57
PgR001X_g053,4997.40,-0.29,0.37,-0.78,0.43,0.65
PgR001X_g054,310.80,2.95,0.49,6.00,0.00,0.00
PgR001X_g056,2687.69,-0.05,0.25,-0.21,0.83,0.92
PgR001X_g057,104.84,-0.66,0.41,-1.61,0.11,0.28
PgR001X_g058,2408.02,2.99,0.60,4.97,0.00,0.00
PgR001X_g059,1451.86,0.15,0.24,0.61,0.54,0.73
PgR001X_g060,3614.23,-0.68,0.25,-2.77,0.01,0.04
PgR001X_g061,6829.42,-0.32,0.26,-1.24,0.22,0.43
PgR001X_g062,270.73,0.53,0.18,2.88,0.00,0.03
PgR001X_g063,86.97,-0.03,0.27,-0.13,0.90,0.95
PgR001X_g064,2184.01,-0.42,0.36,-1.19,0.24,0.45
PgR001X_g065,386.90,1.58,0.53,2.97,0.00,0.03
PgR001X_g066,275.52,1.74,0.90,1.93,0.05,0.18
PgR001X_g067,33.19,0.53,1.06,0.50,0.62,0.79
PgR001X_g070,5258.32,-0.52,0.23,-2.28,0.02,0.10
PgR001X_g071,1972.41,-0.73,0.25,-2.90,0.00,0.03
PgR001X_g072,15447.88,0.34,0.31,1.09,0.28,0.50
PgR001X_g074,935.93,-0.10,0.31,-0.34,0.74,0.86
PgR001X_g075,5.22,1.73,0.92,1.89,0.06,0.19
PgR001X_g076,3205.21,-0.47,0.31,-1.52,0.13,0.32
PgR001X_g077,4.66,0.72,2.12,0.34,0.73,0.86
PgR001X_g078,3.84,0.31,1.06,0.30,0.77,0.88
PgR001X_g079,29.89,-0.83,1.50,-0.55,0.58,0.76
PgR001X_g080,735.72,0.14,0.22,0.65,0.52,0.71
PgR001X_g081,1139.81,0.31,0.27,1.12,0.26,0.48
PgR001X_g082,2685.65,4.55,0.62,7.28,0.00,0.00
PgR001X_g083,96.19,1.78,1.09,1.64,0.10,0.27
PgR001X_g084,1253.87,0.12,0.25,0.48,0.63,0.80
PgR001X_g085,3.68,3.41,1.60,2.14,0.03,0.13
PgR001X_g087,3.17,-0.06,1.10,-0.05,0.96,0.98
PgR001X_g088,5.65,3.75,2.00,1.87,0.06,0.20
PgR001X_g089,2005.61,-0.06,0.23,-0.26,0.79,0.89
PgR001X_g090,854.44,2.89,0.79,3.68,0.00,0.00
PgR001X_g091,586.88,2.65,1.07,2.48,0.01,0.07
PgR001X_g092,452.78,1.65,0.66,2.50,0.01,0.07
PgR001X_g093,915.22,0.00,0.20,-0.02,0.98,0.99
PgR001X_g094,3523.39,-0.55,0.27,-2.07,0.04,0.15
PgR001X_g096,2.83,2.61,1.65,1.58,0.11,0.29
PgR001X_g097,7899.56,0.38,0.22,1.70,0.09,0.25
PgR001X_g098,150.41,0.55,0.24,2.31,0.02,0.10
PgR001X_g099,99.85,2.20,0.57,3.84,0.00,0.00
PgR001X_g100,1381.05,-0.34,0.19,-1.77,0.08,0.23
PgR001X_g101,233.53,0.50,0.31,1.59,0.11,0.29
PgR001X_g102,5511.80,-0.61,0.21,-2.87,0.00,0.03
PgR001X_g103,2166.50,0.12,0.15,0.79,0.43,0.64
PgR001X_g104,2050.46,-0.20,0.20,-1.01,0.31,0.54
PgR001X_g105,391.11,0.30,0.22,1.32,0.19,0.40
PgR001X_g106,80.31,1.17,1.10,1.06,0.29,0.51
PgR001X_g108,11.25,-0.29,0.77,-0.37,0.71,0.85
PgR001X_g109,2458.12,-0.63,0.30,-2.09,0.04,0.14
PgR001X_g111,8912.27,-0.03,0.37,-0.09,0.93,0.97
PgR001X_g112,127.74,0.35,0.41,0.87,0.39,0.60
PgR001X_g115,152.57,1.24,0.84,1.48,0.14,0.33
PgR001X_g116,2598.97,-0.86,0.28,-3.11,0.00,0.02
PgR001X_g117,7451.20,1.82,0.83,2.21,0.03,0.12
PgR001X_g119,30368.95,-0.49,0.24,-2.03,0.04,0.16
PgR001X_g120,745.95,0.44,0.32,1.39,0.16,0.37
PgR001X_g122,1016.02,-0.22,0.23,-0.93,0.35,0.57
PgR001X_g123,35.44,-0.41,1.45,-0.28,0.78,0.88
PgR001X_g124,27.24,-1.08,1.10,-0.99,0.32,0.55
PgR001X_g125,49.98,0.12,0.97,0.13,0.90,0.95
PgR001X_g126,2.85,0.87,1.94,0.45,0.65,0.81
PgR001X_g127,276.12,0.18,0.23,0.80,0.42,0.64
PgR001X_g128,327.42,1.34,1.17,1.14,0.25,0.47
PgR001X_g129,87.45,0.06,1.51,0.04,0.97,0.98
PgR001X_g130,250.61,3.21,0.77,4.19,0.00,0.00
PgR001X_g131,2167.99,0.05,0.17,0.30,0.76,0.88
PgR001X_g132,127.54,0.10,0.59,0.18,0.86,0.93
PgR001X_g133,5262.17,-0.08,0.19,-0.44,0.66,0.81
PgR001X_g136,31.64,3.43,1.14,3.02,0.00,0.02
PgR001X_g137,20.66,2.30,1.20,1.91,0.06,0.19
PgR001X_g138,1003.33,-0.29,0.22,-1.34,0.18,0.39
PgR001X_g139,6706.72,-0.74,0.26,-2.80,0.01,0.04
PgR001X_g141,7.85,0.21,0.66,0.31,0.75,0.87
PgR001X_g142,534.27,-0.31,0.18,-1.74,0.08,0.24
PgR001X_g143,5193.19,-0.13,0.25,-0.52,0.60,0.78
PgR001X_g144,348.27,-0.34,0.25,-1.36,0.17,0.38
PgR001X_g145,174.20,-0.77,1.52,-0.51,0.61,0.78
PgR001X_g146,18936.91,0.81,0.77,1.05,0.29,0.52
PgR001X_g147,9853.32,-0.56,0.25,-2.27,0.02,0.10
PgR001X_g148,5084.36,-0.16,0.15,-1.00,0.32,0.54
PgR001X_g149,2778.40,-0.74,0.35,-2.11,0.03,0.14
PgR001X_g150,2879.32,-0.43,0.26,-1.67,0.10,0.26
PgR001X_g151,9082.65,-0.48,0.26,-1.84,0.07,0.21
PgR001X_g152,1630.45,0.34,0.55,0.62,0.54,0.73
PgR001X_g153,1405.40,-0.07,0.15,-0.47,0.64,0.80
PgR001X_g154,800.33,0.00,0.20,0.00,1.00,1.00
PgR001X_g155,269.04,1.09,1.68,0.65,0.51,0.71
PgR001X_g156,39.62,2.98,0.97,3.08,0.00,0.02
PgR001X_g157,6065.99,-1.05,0.35,-3.02,0.00,0.02
PgR001X_g158,939.81,-0.45,0.39,-1.17,0.24,0.46
PgR001X_g159,279.91,0.55,0.25,2.21,0.03,0.12
PgR001X_g160,393.31,0.48,0.22,2.19,0.03,0.12
PgR001X_g161,1245.96,-0.93,0.31,-3.05,0.00,0.02
PgR001X_g162,2076.64,-0.27,0.20,-1.35,0.18,0.38
PgR001X_g163,8681.12,-0.06,0.36,-0.18,0.86,0.93
PgR001X_g164,465.31,0.11,0.32,0.33,0.74,0.86
PgR001X_g165,573.58,0.20,0.22,0.91,0.36,0.58
PgR001X_g166,190.57,0.73,0.52,1.40,0.16,0.36
PgR140_g011,92.25,5.49,1.09,5.03,#N/A,#N/A
PgR001X_g169,10058.90,-0.19,0.31,-0.63,0.53,0.73
PgR001X_g170,3414.06,0.28,0.26,1.06,0.29,0.51
PgR001X_g171,62.53,1.20,1.20,1.00,0.32,0.54
PgR001X_g173,2145.06,0.09,0.18,0.48,0.63,0.80
PgR001X_g175,1776.77,-0.12,0.17,-0.70,0.48,0.69
PgR001X_g176,37.16,0.26,0.32,0.80,0.42,0.64
PgR001X_g177,85.83,0.55,0.23,2.33,0.02,0.09
PgR001X_g178,331.16,0.82,0.43,1.91,0.06,0.19
PgR001X_g180,31679.28,-0.26,0.25,-1.01,0.31,0.53
PgR001X_g181,59.88,2.33,1.06,2.20,0.03,0.12
PgR001X_g182,220.42,1.23,0.75,1.65,0.10,0.27
PgR001X_g183,290.55,-0.52,0.45,-1.16,0.24,0.46
PgR001X_g184,885.74,0.37,0.23,1.63,0.10,0.28
PgR001X_g185,643.90,-0.45,0.29,-1.56,0.12,0.30
PgR001X_g186,469.66,-0.31,0.13,-2.40,0.02,0.08
PgR001X_g187,5700.72,-0.24,0.21,-1.14,0.25,0.47
PgR001X_g188,1003.99,-0.60,0.23,-2.59,0.01,0.06
PgR001X_g190,169.94,-1.91,3.07,-0.62,0.53,0.73
PgR001X_g191,251.69,0.28,0.18,1.51,0.13,0.32
PgR001X_g192,31.51,0.74,0.42,1.74,0.08,0.24
PgR001X_g193,8749.34,-0.26,0.19,-1.38,0.17,0.37
PgR001X_g194,10.42,0.71,1.29,0.55,0.58,0.76
PgR001X_g195,805.89,-0.28,0.25,-1.14,0.25,0.47
PgR001X_g196,18.87,-0.63,0.57,-1.11,0.27,0.49
PgR001X_g197,16034.50,-0.51,0.38,-1.32,0.19,0.40
PgR001X_g198,874.85,0.28,0.30,0.92,0.36,0.58
PgR001X_g199,553.97,-0.13,0.15,-0.87,0.39,0.60
PgR001X_g200,1534.13,0.88,0.32,2.77,0.01,0.04
PgR001X_g201,14334.72,-0.41,0.20,-2.02,0.04,0.16
PgR001X_g202,431.79,0.19,0.41,0.46,0.65,0.80
PgR001X_g203,313.27,2.44,0.40,6.04,0.00,0.00
PgR001X_g204,2835.08,-0.52,0.27,-1.96,0.05,0.17
PgR001X_g205,1531.95,-0.93,0.86,-1.08,0.28,0.50
PgR001X_g206,1077.94,2.31,0.68,3.37,0.00,0.01
PgR001X_g207,1472.71,-0.11,0.17,-0.67,0.50,0.70
PgR001X_g209,174.26,-0.11,0.26,-0.41,0.68,0.83
PgR001X_g210,3766.49,-0.63,0.30,-2.12,0.03,0.14
PgR001X_g212,5476.19,1.15,0.66,1.75,0.08,0.24
PgR001X_g213,408.45,0.61,0.32,1.91,0.06,0.19
PgR001X_g216,20232.64,0.12,0.15,0.81,0.42,0.63
PgR001X_g217,2279.09,-0.38,0.18,-2.08,0.04,0.14
PgR001X_g218,4282.46,-0.27,0.30,-0.90,0.37,0.59
PgR001X_g219,220.71,2.10,0.91,2.31,0.02,0.10
PgR001X_g222,789.54,0.13,0.15,0.86,0.39,0.61
PgR145_g009,91.19,8.32,1.72,4.83,#N/A,#N/A
PgR001X_g224,2.15,-0.06,1.82,-0.03,0.97,0.99
PgR001X_g226,1501.73,0.02,0.21,0.10,0.92,0.96
PgR001X_g227,1566.77,-0.20,0.15,-1.40,0.16,0.36
PgR001X_g228,106.10,0.01,0.43,0.02,0.98,0.99
PgR001X_g229,3337.97,-0.98,0.39,-2.49,0.01,0.07
PgR001X_g230,2242.28,0.02,0.21,0.07,0.94,0.97
PgR001X_g231,478.81,0.13,0.18,0.75,0.45,0.66
PgR001X_g232,1971.86,-0.47,0.29,-1.65,0.10,0.27
PgR001X_g235,3081.14,-0.19,0.20,-0.95,0.34,0.57
PgR001X_g236,5301.89,-0.61,0.46,-1.33,0.18,0.39
PgR001X_g237,36.54,2.43,0.73,3.33,0.00,0.01
PgR001X_g238,1762.87,4.30,0.78,5.51,0.00,0.00
PgR001X_g239,1203.22,2.12,1.20,1.76,0.08,0.23
PgR001X_g240,366.05,0.16,0.22,0.73,0.46,0.67
PgR001X_g241,269.44,0.47,0.29,1.61,0.11,0.28
PgR001X_g242,92.30,1.48,0.88,1.68,0.09,0.26
PgR001X_g243,155.42,0.44,0.39,1.13,0.26,0.48
PgR001X_g244,193.44,0.81,0.59,1.38,0.17,0.37
PgR001X_g245,12.32,-0.71,1.08,-0.66,0.51,0.71
PgR001X_g246,722.46,-0.15,0.14,-1.05,0.29,0.52
PgR001X_g247,843.83,0.04,0.25,0.15,0.88,0.94
PgR001X_g249,33.17,1.92,0.84,2.29,0.02,0.10
PgR001X_g250,227.76,0.04,1.01,0.04,0.97,0.98
PgR001X_g251,694.79,1.36,0.71,1.91,0.06,0.19
PgR001X_g252,117.85,1.51,0.96,1.58,0.12,0.30
PgR001X_g253,477.68,-0.48,0.48,-1.00,0.32,0.54
PgR001X_g255,103.98,5.09,1.03,4.96,0.00,0.00
PgR001X_g257,2524.66,2.98,0.57,5.27,0.00,0.00
PgR001X_g258,49.40,2.33,0.96,2.43,0.02,0.08
PgR001X_g259,588.08,-0.52,0.43,-1.20,0.23,0.45
PgR001X_g261,4.23,3.56,1.40,2.54,0.01,0.06
PgR001X_g263,448.64,-1.22,0.63,-1.94,0.05,0.18
PgR001X_g264,213.80,-0.06,0.25,-0.25,0.80,0.90
PgR001X_g265,77.84,-0.31,0.54,-0.56,0.57,0.76
PgR001X_g266,556.04,-0.07,0.17,-0.39,0.69,0.84
PgR001X_g267,769.98,0.31,0.23,1.34,0.18,0.39
PgR001X_g268,59.07,1.52,0.57,2.66,0.01,0.05
PgR001X_g269,25753.14,1.01,0.53,1.89,0.06,0.19
PgR001X_g271,900.55,0.34,0.56,0.60,0.55,0.74
PgR001X_g272,329.49,2.47,0.75,3.31,0.00,0.01
PgR001X_g274,20420.20,0.06,0.21,0.27,0.79,0.89
PgR001X_g275,132.92,0.91,0.37,2.48,0.01,0.07
PgR001X_g276,480.32,0.04,0.25,0.18,0.86,0.93
PgR001X_g278,3459.40,0.67,0.40,1.69,0.09,0.26
PgR001X_g279,2212.23,-0.06,0.38,-0.16,0.87,0.94
PgR001X_g280,1031.94,-0.12,0.49,-0.24,0.81,0.90
PgR001X_g281,3854.23,0.87,0.45,1.94,0.05,0.18
PgR001X_g283,30.78,9.31,1.38,6.75,0.00,0.00
PgR001X_g284,432.51,0.26,0.48,0.54,0.59,0.77
PgB10_g062,89.48,5.07,0.95,5.34,#N/A,#N/A
PgR001X_g286,1480.91,-0.45,0.34,-1.32,0.19,0.40
PgR001X_g287,621.67,0.46,0.20,2.27,0.02,0.10
PgR001X_g288,23.42,1.96,1.15,1.70,0.09,0.25
PgR001X_g290,109.24,0.62,0.61,1.01,0.31,0.54
PgR001X_g291,3701.00,-1.00,0.30,-3.30,0.00,0.01
PgR001X_g296,1326.81,0.36,0.21,1.70,0.09,0.25
PgR001X_g298,112.74,1.55,0.69,2.25,0.02,0.11
PgR001X_g299,424.46,1.44,0.82,1.74,0.08,0.24
PgR003_g027,88.23,8.98,2.03,4.43,#N/A,#N/A
PgR002_g002,1701.22,0.36,0.77,0.46,0.64,0.80
PgR002_g003,546.30,0.23,0.30,0.76,0.45,0.66
PgR002_g004,832.17,-0.58,0.15,-3.88,0.00,0.00
PgR002_g005,350.38,0.42,0.22,1.94,0.05,0.18
PgR002_g007,1681.16,0.41,0.29,1.42,0.15,0.35
PgR002_g008,2292.90,0.19,0.17,1.11,0.26,0.49
PgR002_g009,321.39,0.16,0.25,0.66,0.51,0.71
PgR002_g011,28.58,5.16,1.89,2.73,0.01,0.04
PgR002_g013,847.75,0.46,0.24,1.90,0.06,0.19
PgR002_g014,282.86,0.55,0.28,1.99,0.05,0.17
PgR002_g015,430.41,-0.16,0.29,-0.55,0.58,0.76
PgR002_g016,103.13,1.08,0.68,1.59,0.11,0.29
PgR002_g017,23.10,1.80,0.65,2.78,0.01,0.04
PgR002_g018,2378.15,-0.49,0.23,-2.17,0.03,0.12
PgR002_g019,793.05,0.77,0.19,4.14,0.00,0.00
PgR002_g020,505.95,-0.01,0.33,-0.03,0.97,0.99
PgR002_g021,954.96,0.01,0.28,0.03,0.98,0.99
PgR002_g022,9302.40,-0.53,0.26,-2.03,0.04,0.16
PgR002_g024,3624.39,-0.99,0.27,-3.63,0.00,0.00
PgR054_g046,87.84,9.16,2.22,4.12,#N/A,#N/A
PgR002_g026,6238.36,-0.68,0.24,-2.87,0.00,0.03
PgR002_g027,3205.53,0.06,1.48,0.04,0.97,0.98
PgR002_g028,77.50,0.61,0.37,1.66,0.10,0.26
PgR002_g029,739.10,-0.18,0.25,-0.73,0.46,0.67
PgR002_g030,248.53,0.66,0.31,2.11,0.03,0.14
PgR002_g031,32.57,-0.75,0.96,-0.78,0.43,0.65
PgR002_g032,172.26,2.31,0.90,2.57,0.01,0.06
PgR002_g033,48.00,0.45,0.67,0.67,0.50,0.70
PgR002_g034,373.31,0.23,0.36,0.64,0.52,0.72
PgR002_g035,503.27,2.46,0.94,2.61,0.01,0.06
PgR002_g037,12.45,-2.32,1.33,-1.73,0.08,0.24
PgR002_g038,173.54,-0.22,0.50,-0.45,0.65,0.81
PgR002_g039,641.49,-0.88,0.62,-1.41,0.16,0.36
PgR002_g040,119.92,0.50,0.29,1.68,0.09,0.26
PgR002_g042,9.95,-0.59,0.91,-0.65,0.52,0.71
PgR002_g043,34.20,-3.16,1.32,-2.40,0.02,0.08
PgR002_g044,2377.83,-0.37,0.16,-2.36,0.02,0.09
PgR002_g045,253.61,2.84,1.06,2.68,0.01,0.05
PgR002_g046,40.75,-0.18,0.92,-0.20,0.84,0.92
PgB01_g070,87.07,6.38,1.04,6.15,#N/A,#N/A
PgR002_g048,3125.28,-0.02,0.19,-0.12,0.91,0.95
PgR002_g049,1388.59,-0.18,0.16,-1.12,0.26,0.49
PgR002_g050,124.48,0.26,0.53,0.49,0.62,0.79
PgR002_g051,158.22,-0.12,0.31,-0.37,0.71,0.84
PgR002_g052,1752.96,-0.05,0.14,-0.35,0.73,0.86
PgR002_g053,520.16,0.25,0.21,1.23,0.22,0.43
PgR002_g054,545.20,2.93,0.97,3.02,0.00,0.02
PgR002_g056,205.00,0.65,0.30,2.18,0.03,0.12
PgR002_g057,52.37,0.05,0.26,0.19,0.85,0.93
PgR002_g058,243.49,-0.01,0.20,-0.05,0.96,0.98
PgR002_g059,854.23,0.01,0.28,0.02,0.98,0.99
PgR002_g060,1909.02,-0.36,0.16,-2.19,0.03,0.12
PgR002_g061,9939.71,-0.60,0.54,-1.12,0.26,0.49
PgR002_g063,5.01,2.92,1.43,2.04,0.04,0.15
PgR002_g064,22057.35,-0.26,0.20,-1.28,0.20,0.42
PgR002_g065,1358.93,-0.75,0.37,-2.01,0.04,0.16
PgR002_g066,459.16,3.42,0.61,5.64,0.00,0.00
PgR046_g070,86.96,10.38,2.16,4.81,#N/A,#N/A
PgR002_g071,711.01,0.26,0.35,0.74,0.46,0.67
PgR002_g072,6460.52,-0.09,0.17,-0.57,0.57,0.75
PgR002_g074,28.65,6.41,0.99,6.49,0.00,0.00
PgR002_g075,39518.55,-0.47,0.16,-3.00,0.00,0.02
PgR002_g076,10.00,0.75,0.67,1.11,0.27,0.49
PgR002_g077,582.20,0.00,0.26,-0.01,0.99,1.00
PgR002_g078,1470.38,-0.68,0.33,-2.02,0.04,0.16
PgR002_g079,764.46,0.18,0.28,0.65,0.52,0.71
PgR002_g080,294.64,0.47,0.34,1.39,0.17,0.37
PgR002_g081,7732.62,-0.36,0.20,-1.79,0.07,0.22
PgR002_g083,37.13,0.51,0.37,1.40,0.16,0.36
PgR002_g084,162.74,0.18,0.43,0.41,0.68,0.83
PgR002_g085,9691.68,0.35,0.23,1.51,0.13,0.32
PgR002_g086,2270.74,1.34,0.50,2.71,0.01,0.05
PgR002_g087,59.46,1.96,1.72,1.14,0.25,0.48
PgR002_g088,1996.16,-0.82,0.56,-1.47,0.14,0.34
PgR002_g089,168.02,-0.60,0.94,-0.64,0.52,0.72
PgR002_g090,7909.86,0.12,0.24,0.51,0.61,0.78
PgR002_g091,100.92,1.48,0.92,1.61,0.11,0.28
PgR002_g093,1179.19,-0.09,0.41,-0.22,0.83,0.91
PgR002_g094,2885.00,-1.06,0.31,-3.42,0.00,0.01
PgR002_g095,445.64,0.52,0.32,1.62,0.10,0.28
PgR004_g209,86.34,12.97,1.69,7.67,#N/A,#N/A
PgR002_g097,1240.47,-0.13,0.29,-0.45,0.65,0.81
PgR002_g098,348.00,0.36,0.20,1.76,0.08,0.23
PgR002_g099,1818.91,-0.69,0.36,-1.92,0.05,0.18
PgR002_g100,2083.48,0.21,0.24,0.87,0.39,0.60
PgR002_g101,16.10,4.90,1.13,4.35,0.00,0.00
PgR039_g098,85.87,8.78,2.50,3.52,#N/A,#N/A
PgR002_g103,924.76,0.79,0.35,2.23,0.03,0.11
PgR002_g104,7694.05,-1.57,0.32,-4.89,0.00,0.00
PgR002_g105,1545.18,-1.10,0.35,-3.19,0.00,0.01
PgR002_g106,47506.51,1.04,0.49,2.10,0.04,0.14
PgR002_g107,76.48,-1.04,0.95,-1.10,0.27,0.50
PgR002_g109,11634.22,-0.52,0.22,-2.36,0.02,0.09
PgR002_g111,21.54,4.50,0.90,5.02,0.00,0.00
PgR002_g114,7.94,7.37,1.65,4.46,0.00,0.00
PgR002_g115,19.73,2.50,1.05,2.38,0.02,0.09
PgR002_g117,5358.69,-0.19,0.19,-1.05,0.29,0.52
PgR002_g118,19.08,1.37,0.88,1.56,0.12,0.30
PgR002_g119,233.45,0.15,0.25,0.61,0.54,0.73
PgR002_g120,1675.96,-0.35,0.17,-1.99,0.05,0.17
PgR002_g121,1528.37,0.35,0.25,1.40,0.16,0.36
PgR002_g122,516.31,0.35,0.38,0.93,0.35,0.57
PgR002_g124,57.54,0.76,1.08,0.70,0.48,0.69
PgR002_g125,3029.94,-0.41,0.29,-1.42,0.16,0.36
PgR002_g126,1099.05,-0.13,0.23,-0.58,0.56,0.75
PgR002_g127,3302.02,-0.58,0.19,-3.08,0.00,0.02
PgB01_g215,84.09,5.50,1.32,4.18,#N/A,#N/A
PgR010_g044,82.62,8.60,2.76,3.12,#N/A,#N/A
PgR002_g132,6.85,5.65,2.19,2.59,0.01,0.06
PgR002_g133,870.91,0.23,0.31,0.77,0.44,0.65
PgR002_g134,181.99,0.21,0.56,0.38,0.70,0.84
PgR002_g135,18.85,-0.75,1.49,-0.50,0.62,0.78
