Gene.stable.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PgB06_g060,662.44,1.62,0.51,3.20,0.00,0.01
PgB06_g062,844.24,1.45,0.53,2.71,0.01,0.05
PgB06_g063,269.94,-0.04,0.25,-0.15,0.88,0.94
PgB06_g065,15.80,1.57,1.16,1.36,0.17,0.38
PgB06_g066,3162.21,-0.43,0.12,-3.57,0.00,0.01
PgB06_g067,414.49,0.32,0.30,1.05,0.30,0.52
PgB06_g068,783.21,-0.01,0.18,-0.04,0.97,0.98
PgB06_g070,68.31,1.16,0.78,1.48,0.14,0.33
PgB06_g071,86.87,1.47,1.00,1.47,0.14,0.34
PgB06_g072,1737.61,-0.19,0.26,-0.73,0.47,0.68
PgB06_g073,871.47,0.10,0.18,0.57,0.57,0.75
PgB06_g075,891.15,-0.04,0.20,-0.18,0.86,0.93
PgB06_g076,2075.90,-0.26,0.23,-1.13,0.26,0.48
PgB06_g077,443.46,-0.19,0.21,-0.90,0.37,0.59
PgB06_g078,432.31,0.39,0.23,1.65,0.10,0.27
PgB06_g079,426.09,0.35,1.01,0.35,0.73,0.86
PgB06_g080,166.51,0.51,0.40,1.27,0.20,0.42
PgB06_g081,11.21,0.08,0.64,0.13,0.90,0.95
PgB06_g082,5.02,-0.18,0.87,-0.20,0.84,0.92
PgB06_g084,267.95,0.73,0.57,1.28,0.20,0.41
PgB06_g085,223.42,0.20,0.98,0.21,0.84,0.92
PgB06_g086,20.88,0.75,1.13,0.67,0.50,0.70
PgB06_g088,3571.41,-0.36,0.30,-1.18,0.24,0.46
PgB06_g089,1945.86,0.77,0.55,1.40,0.16,0.36
PgB06_g090,657.71,0.26,0.56,0.47,0.64,0.80
PgB06_g091,578.15,-0.39,0.27,-1.42,0.16,0.36
PgB06_g092,7870.48,0.07,0.27,0.25,0.80,0.90
PgB06_g093,974.94,-0.40,0.42,-0.95,0.34,0.56
PgB06_g094,1187.79,0.43,0.40,1.10,0.27,0.50
PgB06_g095,16.94,4.69,1.31,3.57,0.00,0.01
PgB06_g096,1654.47,0.05,0.20,0.22,0.82,0.91
PgB06_g097,1009.50,1.52,0.63,2.43,0.02,0.08
PgB06_g098,140.90,0.16,0.66,0.24,0.81,0.90
PgB06_g099,1978.21,-0.35,0.29,-1.23,0.22,0.44
PgB06_g100,679.04,0.60,1.58,0.38,0.70,0.84
PgB06_g101,60.14,1.58,1.01,1.56,0.12,0.30
PgB06_g102,3127.82,-0.24,0.23,-1.04,0.30,0.52
PgB06_g103,1756.03,-0.17,0.24,-0.74,0.46,0.67
PgB06_g104,2439.76,-0.18,0.21,-0.89,0.37,0.59
PgB06_g105,3.25,1.95,1.43,1.36,0.17,0.38
