"__AggregationOverrideSettings","__AggregationSettings","__ViewSettings","degree.layout","name","NumChildren","NumDescendents","selected","shared name"
,,,,"PgR146_g013",,,"true","PgR146_g013"
,,,,"PgB18_g021",,,"true","PgB18_g021"
,,,,"PgB11_g069",,,"true","PgB11_g069"
,,,,"PgR042_g001",,,"true","PgR042_g001"
,,,,"PgR001X_g123",,,"true","PgR001X_g123"
,,,,"PgR033_g087",,,"true","PgR033_g087"
,,,,"PgR085_g036",,,"true","PgR085_g036"
,,,,"PgR085_g037",,,"true","PgR085_g037"
,,,,"PgR013_g053",,,"true","PgR013_g053"
,,,,"PgR016_g063",,,"true","PgR016_g063"
,,,,"PgR162X_g001",,,"true","PgR162X_g001"
,,,,"PgR106_g003",,,"true","PgR106_g003"
,,,,"PgR085_g041",,,"true","PgR085_g041"
,,,,"PgR019_g012",,,"true","PgR019_g012"
,,,,"PgR018_g018",,,"true","PgR018_g018"
,,,,"PgR015_g048",,,"true","PgR015_g048"
,,,,"PgB43_g001",,,"true","PgB43_g001"
,,,,"PgR077_g017",,,"true","PgR077_g017"
,,,,"PgR085_g047",,,"true","PgR085_g047"
,,,,"PgR011_g051",,,"true","PgR011_g051"
,,,,"PgR036_g046",,,"true","PgR036_g046"
,,,,"PgB06_g049",,,"true","PgB06_g049"
,,,,"PgR014X_g026",,,"true","PgR014X_g026"
,,,,"PgB08_g025",,,"true","PgB08_g025"
,,,,"PgR085_g049",,,"true","PgR085_g049"
,,,,"PgR003_g098",,,"true","PgR003_g098"
,,,,"PgR065_g014",,,"true","PgR065_g014"
,,,,"PgR216X_g003",,,"true","PgR216X_g003"
,,,,"PgR024_g019",,,"true","PgR024_g019"
,,,,"PgR013_g094",,,"true","PgR013_g094"
,,,,"PgR106_g021",,,"true","PgR106_g021"
,,,,"PgR019_g068",,,"true","PgR019_g068"
,,,,"PgR095X_g023",,,"true","PgR095X_g023"
,,,,"PgR007_g020",,,"true","PgR007_g020"
,,,,"PgR049_g001",,,"true","PgR049_g001"
,,,,"PgR003_g094",,,"true","PgR003_g094"
,,,,"PgR011_g182",,,"true","PgR011_g182"
,,,,"PgR016_g136",,,"true","PgR016_g136"
,,,,"PgR024_g021",,,"false","PgR024_g021"
,,,,"PgR004_g225",,,"true","PgR004_g225"
,,,,"PgB14X_g021",,,"true","PgB14X_g021"
,,,,"PgR003_g228",,,"true","PgR003_g228"
,,,,"PgR024_g020",,,"true","PgR024_g020"
,,,,"PgR003_g248",,,"true","PgR003_g248"
