"__AggregationOverrideSettings","__AggregationSettings","__ViewSettings","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","NumChildren","NumDescendents","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"","","","1.770012706480305","6.136085821581367E-4","0.5649676956209619","0.6799418076013821","235",,"4","false","PgR020_g080","280.9148936170213","0","235",,,"0","0.9982092727756272","true","0","PgR020_g080","38140","0.3821971341728181"
"","","","1.6772554002541296","0.0023400129144849242","0.5962121212121212","0.5571919377004123","296",,"4","false","PgR020_g082","253.54054054054055","0","296",,,"0","0.9984249874412695","true","0","PgR020_g082","97886","0.3398666763278023"
"","","","1.7179161372299874","0.0011515346368739731","0.5821005917159763","0.6630772356543697","263",,"4","false","PgR020_g102","280.84410646387835","0","263",,,"0","0.9983304275878373","true","0","PgR020_g102","55256","0.37495875362333553"
"","","","1.5692503176620076","0.005207221674127495","0.637246963562753","0.5203164934727047","362",,"4","false","PgR020_g130","250.14917127071823","0","362",,,"0","0.9986761620519488","true","0","PgR020_g130","181316","0.3269923807460369"
"","","","2.002541296060991","3.149321962067294E-4","0.4993654822335025","0.5531284709366902","74",,"4","false","PgR021_g037","228.04054054054055","0","74",,,"0","0.9976685086138116","true","0","PgR021_g037","9654","0.31983245517607367"
"","","","2.2083862770012708","2.0238118432983234E-4","0.45281933256616796","0.3333333333333333","19",,"4","false","PgR001X_g014","166.73684210526315","0","19",,,"0","0.997189799355811","true","0","PgR001X_g014","3614","0.27460331223445766"
"","","","1.8818297331639136","0.0011500723366014032","0.5313977042538826","0.617624521072797","145",,"4","false","PgR024_g036","266.5586206896552","0","145",,,"0","0.9979492331786887","true","0","PgR024_g036","48270","0.3616806250877275"
"","","","1.8881829733163913","9.083336178482128E-4","0.5296096904441454","0.512881064834693","137",,"4","false","PgR024_g046","236.43065693430657","0","137",,,"0","0.9979344582015898","true","0","PgR024_g046","26246","0.3190697124619522"
"","","","1.5870393900889455","0.0027758120058419236","0.6301040832666133","0.5816522574447647","348",,"3","false","PgR024_g099","264.5919540229885","0","348",,,"0","0.9986347921160722","true","0","PgR024_g099","121628","0.34632454715050853"
"","","","1.7306226175349428","0.002311004526944817","0.5778267254038179","0.5556766639710278","239",,"3","false","PgR024_g110","257.69456066945605","0","239",,,"0","0.9983008776336396","true","0","PgR024_g110","89376","0.33907179035454743"
"","","","1.687420584498094","0.00443528456770969","0.5926204819277109","0.5674319840743198","275",,"4","false","PgR025_g038","256.1272727272727","0","275",,,"0","0.9984013474779113","true","0","PgR025_g038","146158","0.3374535872559588"
"","","","1.6836086404066073","0.0024239140275886654","0.5939622641509434","0.5765892501658925","275",,"4","false","PgR026_g013","255.24363636363637","0","275",,,"0","0.9984102124641707","true","0","PgR026_g013","89030","0.33496540205201625"
"","","","1.7255400254129607","8.26701140913596E-4","0.5795287187039764","0.6697640594699418","273",,"4","false","PgR026_g022","273.42124542124543","0","273",,,"0","0.9983126976153187","true","0","PgR026_g022","57548","0.37403727143809223"
"","","","1.6607369758576873","0.0014405221047101725","0.6021423106350421","0.6742459494902492","308",,"4","false","PgR026_g023","281.3344155844156","0","308",,,"0","0.9984634023817264","true","0","PgR026_g023","68914","0.3766190302334881"
"","","","1.627700127064803","0.0035624987316207214","0.6143637782982045","0.5701627486437613","316",,"4","false","PgR026_g038","256.37974683544303","0","316",,,"0","0.9985402322626399","true","0","PgR026_g038","136106","0.3351369239678994"
