"__AggregationOverrideSettings","__AggregationSettings","__ViewSettings","degree.layout","name","NumChildren","NumDescendents","selected","shared name"
,,,,"PgR065_g021",,,"false","PgR065_g021"
,,,,"PgR002_g032",,,"false","PgR002_g032"
,,,,"PgR041_g062",,,"false","PgR041_g062"
,,,,"PgR032X_g013",,,"false","PgR032X_g013"
,,,,"PgR071_g028",,,"false","PgR071_g028"
,,,,"PgR027_g133",,,"false","PgR027_g133"
,,,,"PgB03_g150",,,"false","PgB03_g150"
,,,,"PgR008_g150",,,"false","PgR008_g150"
,,,,"PgR046_g034",,,"false","PgR046_g034"
,,,,"PgB06_g085",,,"false","PgB06_g085"
,,,,"PgR101_g014",,,"false","PgR101_g014"
,,,,"PgR062_g030",,,"false","PgR062_g030"
,,,,"PgR048_g033",,,"false","PgR048_g033"
,,,,"PgR013_g010",,,"false","PgR013_g010"
