"__AggregationOverrideSettings","__AggregationSettings","__ViewSettings","degree.layout","name","NumChildren","NumDescendents","selected","shared name"
,,,,"PgR003_g174",,,"true","PgR003_g174"
,,,,"PgR008_g203",,,"true","PgR008_g203"
,,,,"PgB05_g022",,,"true","PgB05_g022"
,,,,"PgB05_g087",,,"true","PgB05_g087"
,,,,"PgR011_g112",,,"true","PgR011_g112"
,,,,"PgR006_g097",,,"true","PgR006_g097"
,,,,"PgR025_g051",,,"true","PgR025_g051"
,,,,"PgR038X_g025",,,"true","PgR038X_g025"
,,,,"PgR015_g070",,,"true","PgR015_g070"
,,,,"PgR119X_g006",,,"true","PgR119X_g006"
,,,,"PgR134_g026",,,"true","PgR134_g026"
,,,,"PgR003_g145",,,"true","PgR003_g145"
,,,,"PgR054_g036",,,"true","PgR054_g036"
,,,,"PgR107_g022",,,"true","PgR107_g022"
,,,,"PgR091_g030",,,"true","PgR091_g030"
,,,,"PgB11_g051",,,"true","PgB11_g051"
,,,,"PgR064_g023",,,"true","PgR064_g023"
